,0
0,0.4297294879590409
1,0.429886684482685
2,0.004873755931785404
3,0.4300438115867281
4,0.004873755931785404
5,0.004873755931785404
6,0.004873755931785404
7,0.004873755931785404
8,0.004873755931785404
9,0.004873755931785404
10,0.004873755931785404
11,0.004873755931785404
12,0.004873755931785404
13,0.4301935241241464
14,0.004873755931785404
15,0.004873755931785404
16,0.4303451531542118
17,0.4304956084110692
18,0.004873755931785404
19,0.43065123689477763
20,0.43081354437081665
21,0.4309665147352537
22,0.43111901425997595
23,0.43126558807746307
24,0.43139726981781396
25,0.004873755931785404
26,0.004873755931785404
27,0.004873755931785404
28,0.43151964954206584
29,0.43164346203215204
30,0.004873755931785404
31,0.43176602160075184
32,0.43188007646132837
33,0.004873755931785404
34,0.43199502367184844
35,0.4321107062830446
36,0.004873755931785404
37,0.004873755931785404
38,0.004873755931785404
39,0.4322268546159214
40,0.43234664119571276
41,0.43247340318815913
42,0.004873755931785404
43,0.004873755931785404
44,0.004873755931785404
45,0.004873755931785404
46,0.004873755931785404
47,0.4326040323544972
48,0.4327305430188817
49,0.004873755931785404
50,0.43287078314154315
51,0.43301252332014495
52,0.004873755931785404
53,0.004873755931785404
54,0.004873755931785404
55,0.43315827914081456
56,0.4332971433530419
57,0.004873755931785404
58,0.43343213810017944
59,0.004873755931785404
60,0.43356292355779885
61,0.004873755931785404
62,0.004873755931785404
63,0.004873755931785404
64,0.43370086797105073
65,0.004873755931785404
66,0.4338391415149121
67,0.004873755931785404
68,0.43397426497064884
69,0.004873755931785404
70,0.004873755931785404
71,0.4340871306068625
72,0.43419501873253646
73,0.43427943155423154
74,0.004873755931785404
75,0.004873755931785404
76,0.434362438294527
77,0.004873755931785404
78,0.43444405221139526
79,0.43453469230191744
80,0.43462224396689814
81,0.43471055084227705
82,0.4348035242435766
83,0.004873755931785404
84,0.43490323549600546
85,0.4350133712545418
86,0.43512550827254687
87,0.4352380682440578
88,0.4353450012702785
89,0.004873755931785404
90,0.004873755931785404
91,0.43544922332063707
92,0.43555718201842425
93,0.4356622369982302
94,0.4357683257756096
95,0.004873755931785404
96,0.4358839081416861
97,0.004873755931785404
98,0.004873755931785404
99,0.4360053154188799
100,0.4361272911403256
101,0.43624506991342304
102,0.43637841648458897
103,0.43651660958059696
104,0.004873755931785404
